"Class","Category","Name","FullPath","SizeMB","LastWrite","IsCanonical"
"LEGACY_PROJECT","RuneforgeCore","command-registry.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\core\command-registry.js","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","env.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\config\env.js","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","whatsapp.webhook.routes.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\adapters\whatsapp\whatsapp.webhook.routes.js","0.001","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","ai.client.js","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\src\adapters\ai\ai.client.js","0","20/03/2026 06:15:07 a. m.","True"
"SCRIPTING_ACTIVE_OR_REVIEW","RuneforgeCore","dev.ps1","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\scripts\dev.ps1","0","27/03/2026 07:04:56 a. m.","True"
"SCRIPTING_ACTIVE_OR_REVIEW","RuneforgeCore","start.ps1","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\scripts\start.ps1","0","20/03/2026 06:15:07 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore",".env","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\.env","0","27/03/2026 07:04:56 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore",".env.example","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\.env.example","0","27/03/2026 07:04:56 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore",".gitignore","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\.gitignore","0","20/03/2026 12:15:06 a. m.","True"
"LEGACY_PROJECT","RuneforgeCore","package-lock.json","C:\RUNEFOGE_PRO\runeforge-mvp\runeforge-mvp\runeforge-mvp\package-lock.json","0.041","27/03/2026 01:17:01 a. m.","True"
