"DryRun","SourceExists","TipoVisual","Nombre","Relativo","RutaOrigen","DestinoPrevisto","Extension","TamanoPlanBytes","TamanoRealBytes","LastWrite","Riesgo","Motivo"
"NO_COPY","True","cctv_coverage_map","unnamed.jpg","CCTV\unnamed.jpg","G:\CCTV\unnamed.jpg","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__unnamed.jpg",".jpg","200337","200337","2026-01-06T04:18:02.8897606-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ZONAS CCTV.png","CCTV\ZONAS CCTV.png","G:\CCTV\ZONAS CCTV.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__ZONAS CCTV.png",".png","2841926","2841926","2026-01-08T11:35:54.8318863-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","ZONAS.png","CCTV\ZONAS.png","G:\CCTV\ZONAS.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__ZONAS.png",".png","485545","485545","2026-01-09T01:00:54.3263369-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","CCTV_Layout_PENDIENTE.xlsx","CCTV\CCTV_ACTUALIZADO\CCTV_Layout_PENDIENTE.xlsx","G:\CCTV\CCTV_ACTUALIZADO\CCTV_Layout_PENDIENTE.xlsx","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__CCTV_ACTUALIZADO__CCTV_Layout_PENDIENTE.xlsx",".xlsx","6093","6093","2026-01-09T08:34:30.0000000-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_otvgw6otvgw6otvg.png","CCTV\FOTODS\Gemini_Generated_Image_otvgw6otvgw6otvg.png","G:\CCTV\FOTODS\Gemini_Generated_Image_otvgw6otvgw6otvg.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__FOTODS__Gemini_Generated_Image_otvgw6otvgw6otvg.png",".png","9135711","9135711","2026-01-11T00:36:01.3767145-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","base_mejorada_mas_detalle_2x.png","CCTV\NAVE TALLER\base_mejorada_mas_detalle_2x.png","G:\CCTV\NAVE TALLER\base_mejorada_mas_detalle_2x.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__base_mejorada_mas_detalle_2x.png",".png","3643595","3643595","2026-01-06T12:52:04.0460037-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_9g6qju9g6qju9g6q.png","CCTV\NAVE TALLER\Gemini_Generated_Image_9g6qju9g6qju9g6q.png","G:\CCTV\NAVE TALLER\Gemini_Generated_Image_9g6qju9g6qju9g6q.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__Gemini_Generated_Image_9g6qju9g6qju9g6q.png",".png","1645086","1645086","2026-01-06T04:47:21.2344250-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_l85f3pl85f3pl85f.png","CCTV\NAVE TALLER\Gemini_Generated_Image_l85f3pl85f3pl85f.png","G:\CCTV\NAVE TALLER\Gemini_Generated_Image_l85f3pl85f3pl85f.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__Gemini_Generated_Image_l85f3pl85f3pl85f.png",".png","5853204","5853204","2026-01-06T04:54:56.6495981-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","Gemini_Generated_Image_mxc074mxc074mxc0.png","CCTV\NAVE TALLER\Gemini_Generated_Image_mxc074mxc074mxc0.png","G:\CCTV\NAVE TALLER\Gemini_Generated_Image_mxc074mxc074mxc0.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__Gemini_Generated_Image_mxc074mxc074mxc0.png",".png","1817045","1817045","2026-01-06T04:46:00.3140424-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
"NO_COPY","True","cctv_coverage_map","nave 1.png","CCTV\NAVE TALLER\nave 1.png","G:\CCTV\NAVE TALLER\nave 1.png","C:\RUNEFOGE_PRO\runeforge\data\visual_layout_engine\imports\gdrive_zod\visual_direct\cctv_coverage_map\CCTV__NAVE TALLER__nave 1.png",".png","2432474","2432474","2026-01-06T05:23:31.3355750-06:00","MEDIO","Recurso visual/layout/CCTV/mapa/KML"
