"Category","Name","FullPath","SizeMB","LastWrite"
"SCRIPTS","linux_build.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\linux_build.sh","0.0228","21/03/2026 08:14:42 p. m."
"SCRIPTS","macos_build.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\macos_build.sh","0.0061","21/03/2026 08:14:42 p. m."
"SCRIPTS","update_clang_format.py","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\update_clang_format.py","0.0007","21/03/2026 08:14:42 p. m."
"SCRIPTS","convert_and_pack.sh","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\scripts\icons\convert_and_pack.sh","0.0019","21/03/2026 08:14:42 p. m."
"OTHER",".clang-format-ignore","C:\RUNEFOGE_PRO\runeforge\runeforge\app\_archive\source-zips\Sunshine-master\Sunshine-master\third-party\.clang-format-ignore","0","21/03/2026 08:14:42 p. m."
"OTHER","commander-db.json","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\commander-db.json","0.0014","24/04/2026 01:15:44 a. m."
"OTHER","commander-ops-memory.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\commander-ops-memory.txt","0.0031","24/04/2026 07:31:57 p. m."
"OTHER","commander-trace.jsonl","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\commander-trace.jsonl","0.0093","24/04/2026 08:04:54 p. m."
"OTHER","terminal-export-bridge.json","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\terminal-export-bridge.json","0.0008","24/04/2026 01:11:19 a. m."
"RUNTIME_DATA","capture_20260424_192341.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\capture_20260424_192341.txt","0.0004","24/04/2026 07:23:41 p. m."
"RUNTIME_DATA","capture_20260424_192604.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\capture_20260424_192604.txt","0.0005","24/04/2026 07:26:04 p. m."
"RUNTIME_DATA","capture_20260424_192800.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\capture_20260424_192800.txt","0.0015","24/04/2026 07:28:00 p. m."
"RUNTIME_DATA","latest-terminal-export.clean.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\latest-terminal-export.clean.txt","0.0015","24/04/2026 07:28:00 p. m."
"RUNTIME_DATA","latest-terminal-export.json","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\latest-terminal-export.json","0.0005","24/04/2026 06:57:50 p. m."
"RUNTIME_DATA","latest-terminal-export.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\exports\latest-terminal-export.txt","0.0015","24/04/2026 07:28:00 p. m."
"OTHER","code_backend_check.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_backend_check.ps1","0.0008","24/04/2026 01:04:37 a. m."
"OTHER","code_import_latest_terminal_export.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_import_latest_terminal_export.ps1","0.0002","24/04/2026 01:15:44 a. m."
"OTHER","code_import_open_latest_terminal_export.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_import_open_latest_terminal_export.ps1","0.0002","24/04/2026 01:15:44 a. m."
"OTHER","code_node_pm2_ports.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_node_pm2_ports.ps1","0.0008","24/04/2026 12:41:08 a. m."
"OTHER","code_secret_triage.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_secret_triage.ps1","0.0015","24/04/2026 01:04:37 a. m."
"OTHER","code_status_check.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\code_status_check.ps1","0.0006","24/04/2026 01:04:37 a. m."
"OTHER","memory_resume_v43_3_to_ahk_panel_v44.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\memory_resume_v43_3_to_ahk_panel_v44.txt","0.0031","24/04/2026 07:31:57 p. m."
"MEMORY_PROMPT","prompt_analyze_latest_clean.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_analyze_latest_clean.txt","0.0003","24/04/2026 07:42:10 p. m."
"MEMORY_PROMPT","prompt_analyze_latest_terminal_export.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_analyze_latest_terminal_export.txt","0.0005","24/04/2026 01:15:44 a. m."
"MEMORY_PROMPT","prompt_canonical_matrix_v41.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_canonical_matrix_v41.txt","0.0006","24/04/2026 12:41:08 a. m."
"MEMORY_PROMPT","prompt_code_injection_safe_v41.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_code_injection_safe_v41.txt","0.0004","24/04/2026 12:41:08 a. m."
"MEMORY_PROMPT","prompt_memory_operator.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_memory_operator.txt","0.0004","24/04/2026 01:04:37 a. m."
"MEMORY_PROMPT","prompt_memory_update.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_memory_update.txt","0.0004","24/04/2026 07:42:10 p. m."
"MEMORY_PROMPT","prompt_security_audit.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_security_audit.txt","0.0004","24/04/2026 01:04:37 a. m."
"MEMORY_PROMPT","prompt_security_review.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_security_review.txt","0.0004","24/04/2026 07:42:10 p. m."
"MEMORY_PROMPT","prompt_v44_preflight_analysis.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\prompt_v44_preflight_analysis.txt","0.0005","24/04/2026 07:42:10 p. m."
"OTHER","request_extraction_v41.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\data\commander\snippets\request_extraction_v41.txt","0.0006","24/04/2026 12:41:08 a. m."
"DOCS","PROMPT_ESTADO_ACTUAL_RUNEFORGE.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\PROMPT_ESTADO_ACTUAL_RUNEFORGE.txt","0.0011","23/04/2026 11:53:33 p. m."
"DOCS","PROMPT_RESUME_RUNEFORGE_2026-04-24_V43.3_TO_AHK_PANEL_V44.txt","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\PROMPT_RESUME_RUNEFORGE_2026-04-24_V43.3_TO_AHK_PANEL_V44.txt","0.0007","24/04/2026 07:31:57 p. m."
"DOCS","RUNEFORGE_CURRENT_STATE_MEMORY.md","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\RUNEFORGE_CURRENT_STATE_MEMORY.md","0.0425","23/04/2026 11:53:33 p. m."
"DOCS","RUNEFORGE_MEMORY_CLAUSE_2026-04-24_V43.3.md","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\RUNEFORGE_MEMORY_CLAUSE_2026-04-24_V43.3.md","0.0012","24/04/2026 07:27:31 p. m."
"DOCS","RUNEFORGE_RESUME_2026-04-24_V43.3_TO_AHK_PANEL_V44.md","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\RUNEFORGE_RESUME_2026-04-24_V43.3_TO_AHK_PANEL_V44.md","0.0031","24/04/2026 07:31:57 p. m."
"DOCS","backend_perfil.json","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\backend_perfil\backend_perfil.json","0.0003","19/04/2026 04:13:07 a. m."
"DOCS","chat_perfil.json","C:\RUNEFOGE_PRO\runeforge\runeforge\docs\backend_perfil\chat_perfil.json","0.0003","19/04/2026 04:49:00 a. m."
"SCRIPTS","Import-LatestTerminalExport.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Import-LatestTerminalExport.ps1","0.004","24/04/2026 06:54:55 p. m."
"SCRIPTS","Invoke-Runeforge-Capture.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Invoke-Runeforge-Capture.ps1","0.0085","24/04/2026 07:35:53 p. m."
"SCRIPTS","Open-TerminalExportFolder.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Open-TerminalExportFolder.ps1","0.0002","24/04/2026 01:11:18 a. m."
"SCRIPTS","Start-Runeforge-Commander-V41.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Start-Runeforge-Commander-V41.ps1","0.0005","24/04/2026 01:04:37 a. m."
"SCRIPTS","Start-Runeforge-Commander-V42.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Start-Runeforge-Commander-V42.ps1","0.0005","24/04/2026 01:22:09 a. m."
"SCRIPTS","Start-Runeforge-Commander-V43_4.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Start-Runeforge-Commander-V43_4.ps1","0.0005","24/04/2026 07:35:55 p. m."
"SCRIPTS","Start-Runeforge-Commander-V43_5.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Start-Runeforge-Commander-V43_5.ps1","0.0006","24/04/2026 07:48:15 p. m."
"SCRIPTS","Start-Runeforge-Shell.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Start-Runeforge-Shell.ps1","0.0116","24/04/2026 07:02:08 p. m."
"SCRIPTS","Stop-Runeforge-Watcher.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Stop-Runeforge-Watcher.ps1","0.0004","24/04/2026 06:45:40 p. m."
"SCRIPTS","Watch-TerminalExport.ps1","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\Watch-TerminalExport.ps1","0.0038","24/04/2026 06:45:40 p. m."
"SCRIPTS","RUNEFORGE_COMMANDER_V41_GHOST_FUSION.ahk","C:\RUNEFOGE_PRO\runeforge\runeforge\scripts\ahk\RUNEFORGE_COMMANDER_V41_GHOST_FUSION.ahk","0.0137","24/04/2026 12:41:10 a. m."
