"file_id","zip_path","file_name","extension","size_bytes","compressed_bytes","category","sha256","last_write"
"visres_0001","META/DIAGRAMAS/050AE9A0-4CD8-48E4-A958-D059B1EBE7EA.jpeg","050AE9A0-4CD8-48E4-A958-D059B1EBE7EA.jpeg",".jpeg","512806","505403","electrical_sensor_diagram","EEC4B8D7FE17310F3535571CA35184C81E5EA30B78DCA5A2F2C3BA110E84CCAA","2026-05-27T06:05:12.0000000-06:00"
"visres_0002","META/DIAGRAMAS/5A0EB99C-C48D-4B2E-B6DC-3043ACDBFFF4.jpeg","5A0EB99C-C48D-4B2E-B6DC-3043ACDBFFF4.jpeg",".jpeg","423055","412538","electrical_sensor_diagram","E8FABB9FD153925D7F8EB3CC4172BCF672A87A401D0DF6BB1F0E7F804A56F65A","2026-05-27T06:09:14.0000000-06:00"
"visres_0003","META/DIAGRAMAS/7fcd891d-13ba-4ed5-bab5-a57cb0b38ad6.png","7fcd891d-13ba-4ed5-bab5-a57cb0b38ad6.png",".png","2980693","2979457","electrical_sensor_diagram","BB421984AB1C08E304806308528F004D49A48C5F9E9966B1AED74C7D340940DC","2026-05-27T06:04:34.0000000-06:00"
"visres_0004","META/DIAGRAMAS/b66b963b-fb05-4185-9a4d-491467b94c83.jfif","b66b963b-fb05-4185-9a4d-491467b94c83.jfif",".jfif","143466","127132","electrical_sensor_diagram","7098E92E10EEB3415485F18A04ACBEB86874461A222E53221CEDAAF495FB05D8","2026-05-27T01:12:10.0000000-06:00"
"visres_0005","META/DIAGRAMAS/ChatGPT Image 27 may 2026, 01_22_28 a.m.png","ChatGPT Image 27 may 2026, 01_22_28 a.m.png",".png","1889968","1875590","electrical_sensor_diagram","3D6C6B55A7681FE038276DF6227E077F26A7B00CC551CB7512F4F0C08613A451","2026-05-27T01:22:32.0000000-06:00"
"visres_0006","META/DIAGRAMAS/ChatGPT Image 27 may 2026, 01_25_03 a.m.png","ChatGPT Image 27 may 2026, 01_25_03 a.m.png",".png","1801985","1787675","electrical_sensor_diagram","E434321C1A4CCB1D02C938C89642EEFC1E741AC8355483EDB2EF3BC256AC0715","2026-05-27T01:25:16.0000000-06:00"
"visres_0007","META/DIAGRAMAS/ChatGPT Image 27 may 2026, 05_54_19 a.m.png","ChatGPT Image 27 may 2026, 05_54_19 a.m.png",".png","1921640","1907109","electrical_sensor_diagram","D2AEDC10B6F4C83170A120F4C747ADBC676F597719E33EF07EABDAD47F6BD5E5","2026-05-27T05:54:22.0000000-06:00"
"visres_0008","META/DIAGRAMAS/Gemini_Generated_Image_ (1).png","Gemini_Generated_Image_ (1).png",".png","2309141","2081495","electrical_sensor_diagram","B2BF4C22A61500A3575F646AA317BCCAF6653D530A1C4108944B3BB8A35F2AD2","2026-05-27T06:20:46.0000000-06:00"
"visres_0009","META/DIAGRAMAS/Gemini_Generated_Image_ (2).png","Gemini_Generated_Image_ (2).png",".png","2109250","2046374","electrical_sensor_diagram","8F7BDD0628E26A257CF26C28F2A32598944B3D4C93E668FEF498E5F08B78EB1D","2026-05-27T06:21:02.0000000-06:00"
"visres_0010","META/DIAGRAMAS/Gemini_Generated_Image_ (3).png","Gemini_Generated_Image_ (3).png",".png","1224502","1099633","electrical_sensor_diagram","54916BE7B47DAFFA61B4FB4EBD61AC515A64B775266A9F5F1E95802E8A558203","2026-05-27T06:21:10.0000000-06:00"
"visres_0011","META/DIAGRAMAS/Gemini_Generated_Image_ (4).png","Gemini_Generated_Image_ (4).png",".png","2008623","1932180","electrical_sensor_diagram","B585D29E7AFADF95E338E4691186CAA74CB61042EDB642F54869B4179E9A7656","2026-05-27T06:21:38.0000000-06:00"
"visres_0012","META/DIAGRAMAS/Gemini_Generated_Image_ (5).png","Gemini_Generated_Image_ (5).png",".png","1883418","1595046","electrical_sensor_diagram","578D12C0E66500ED2EF3AEB481568146A54A6F9B560C5C1E83C51ADCA56803C7","2026-05-27T06:21:52.0000000-06:00"
"visres_0013","META/DIAGRAMAS/Gemini_Generated_Image_ (6).png","Gemini_Generated_Image_ (6).png",".png","1225477","1106142","electrical_sensor_diagram","73A168DBBBD5B0BA7CE94512471540029953FAB1FF9D43863033124691A51548","2026-05-27T06:29:18.0000000-06:00"
